School Name,Location,Curriculum,Lat,Lon
ABC Private School,AL SHAMKHA,British,24.35447,54.70656
Abu Dhabi Australian School,SHAKHBOUT CITY,International Baccalaureate,24.35447,54.63657
Abu Dhabi Grammar School,ABU DHABI ISLAND,Canadian,24.4919,54.3808
Abu Dhabi Indian-Branch1,AL WATHBA,Indian,24.26382,54.65924
Abu Dhabi Indian School,ABU DHABI ISLAND,Indian,24.445,54.4103
Abu Dhabi International Private School,ABU DHABI ISLAND,"American,British",24.462,54.3657
Abu Dhabi International Private School,MOHAMED BIN ZAYED CITY,American,24.34621,54.54161
Abu Mousa Al Ashaari Private School,AL WATHBA,MoE,24.2731,54.6683
