School Name,Type,Grades,Location,Region,Curriculum,Lat,Lon
MAPLEWOOD INTERNATIONAL SCHOOL,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,Canadian,24.34222,54.53343
Mayoor Private School,Private,KG1- Grade12,AL WATHBA,Abu Dhabi Region,Indian,24.27051,54.6509
Merryland International School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,British,24.3463,54.5358
Modern Private School,Private,KG1- Grade12,SHAKHBOUT CITY,Abu Dhabi Region,MoE,24.39846,54.65282
Pakistan Community Welfare School,Private,KG1- Grade 8,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,Pakistan,24.3209,54.532
Pearl Primary School,Private,KG1- Grade 5,ABU DHABI ISLAND,Abu Dhabi Region,British,24.4752,54.3754
Philippine Emirates School,Private,KG1- Grade10,BANIYAS,Abu Dhabi Region,Philippine,24.2936,54.6373
Polaris Private Academy,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,MoE,24.4839,54.3818
Private International English School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,Indian,24.3394,54.5312
Raha International School,Private,KG1- Grade12,KHALIFA CITY,Abu Dhabi Region,International Baccalaureate,24.4341,54.5756
Rawafed Private School,Private,KG1- Grade12,KHALIFA CITY,Abu Dhabi Region,American,24.42953,54.58553
Reach British Private School,Private,KG1- Grade12,BANIYAS,Abu Dhabi Region,British,24.32765,54.62862
Repton Primary School,Private,KG1- Grade1,AL REEM ISLAND,Abu Dhabi Region,British,24.5072,54.407
Repton School,Private,KG1- Grade12,AL REEM ISLAND,Abu Dhabi Region,British,24.492971,54.405749
Rosary Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,MoE,24.4568,54.3854
RYAN INTERNATIONAL SCHOOL,Private,KG1- KG2,KHALIFA CITY,Abu Dhabi Region,Indian,24.42201,54.6214
Ryan Private School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,Indian,24.3396,54.5325
SABIS INTERNATIONAL SCHOOL - YAS ISLAND,Private,KG1-Grade12,YAS ISLAND,Abu Dhabi Region,SABIS,24.50688,54.59929
Saint Joseph's School,Private,Grade1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,Indian,24.4489,54.3855
SCHOLARS AMERICAN INTERNATIONAL SCHOOL,Private,KG1-Grade12,SHAKHBOUT CITY,Abu Dhabi Region,American,24.36147,54.63301
Shaikh Khalifa Bin Zayed Bangladish Islamia Private School LLC,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,Bangladeshi,24.4359,54.4398
Sheikh Khalifa Bin Zayed Arab Pakistan Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,Pakistan,24.4441,54.4016
Sheikh Zayed Academy,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,American,24.45263,54.37198
